order,seasonal_order,MAE,RMSE,MAPE (%),sMAPE (%)
"(1, 1, 1)","(0, 1, 0, 7)",55834.70389790262,89778.58788339335,71.42794764624242,77.06303403583445
"(1, 1, 0)","(0, 1, 1, 7)",61743.03796901687,96587.1035583572,75.66090941080954,93.62732102562111
"(1, 1, 1)","(1, 0, 1, 7)",62789.889576257425,97729.66790850941,76.4362206245463,97.0382598242916
"(2, 1, 0)","(0, 1, 1, 7)",63157.13876382114,98053.98427920807,76.07812445156169,98.62341261912195
"(0, 1, 1)","(0, 1, 1, 7)",63656.357569323496,98581.74256419227,76.29862503267455,100.43176227390947
"(1, 0, 1)","(0, 1, 1, 7)",64116.49475887727,99153.69871750474,76.63410105330287,101.88117239155305
"(2, 0, 1)","(1, 0, 1, 7)",64159.80033805983,99376.84206721427,77.411827294067,101.40406781722773
"(2, 1, 1)","(0, 0, 1, 7)",64841.08911801052,99878.23510026318,80.7919659665829,103.93714736560953
