Model,MAE,RMSE,MAPE (%),sMAPE (%)
Random Forest,18862.857697451876,21035.73564010148,26.36256773520345,22.83958235044789
GradientBoosting,19790.657468611866,21251.880912564702,26.134761491637313,22.21594924947581
HistGradientBoosting,25453.148849594523,28802.99520372965,28.229815697918774,24.50108368380937
7-day Moving Average,28163.510727650446,31285.957346954554,29.811790607047833,24.99496553792351
Naive,29433.19642857143,32645.701301727502,36.71275365818288,25.06002251699921
SARIMA,31765.31934366392,35908.13132829068,31.438522675067684,24.34423625358734
Damped Holt,38207.842145766044,42490.82715341443,33.34091611166477,25.583829419484555
