Model,MAE,RMSE,MAPE (%)
7-day Moving Average,28163.510727650446,31285.957346954554,29.811790607047833
Random Forest,28382.705283016392,31486.68595648203,27.1710757947747
Naive,29433.19642857143,32645.701301727502,36.71275365818288
SARIMA,39901.98694331931,44795.870796737756,30.776085440482504
